Lap 38: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '11.0'% | '8.0'% | '9.0'% | '8.0'%, Fuel '51.12' Kg, PitStop 'No', Time '01:19.085' ms
Lap 39: Rain 0% -> Compound 'Soft', TyresAge 6, Wear '13.0'% | '10.0'% | '11.0'% | '10.0'%, Fuel '49.53' Kg, PitStop 'No', Time '01:19.039' ms
Lap 40: Rain 0% -> Compound 'Soft', TyresAge 7, Wear '15.0'% | '12.0'% | '13.0'% | '12.0'%, Fuel '47.94' Kg, PitStop 'No', Time '01:18.996' ms
Lap 41: Rain 0% -> Compound 'Soft', TyresAge 8, Wear '17.0'% | '14.0'% | '15.0'% | '13.0'%, Fuel '46.35' Kg, PitStop 'No', Time '01:18.945' ms
Lap 42: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '44.76' Kg, PitStop 'Yes', Time '01:40.901' ms
Lap 43: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '43.17' Kg, PitStop 'No', Time '01:18.843' ms
Lap 44: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '41.58' Kg, PitStop 'No', Time '01:18.784' ms
Lap 45: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '39.99' Kg, PitStop 'No', Time '01:18.731' ms
Lap 46: Rain 0% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '38.4' Kg, PitStop 'Yes', Time '01:48.789' ms
Lap 47: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '36.81' Kg, PitStop 'Yes', Time '01:40.456' ms
Lap 48: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '35.22' Kg, PitStop 'No', Time '01:18.398' ms
Lap 49: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '33.63' Kg, PitStop 'No', Time '01:18.339' ms
Lap 50: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '32.04' Kg, PitStop 'No', Time '01:18.286' ms
Lap 51: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '30.45' Kg, PitStop 'Yes', Time '01:39.735' ms
Lap 52: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.86' Kg, PitStop 'Yes', Time '01:39.645' ms
Lap 53: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '27.27' Kg, PitStop 'No', Time '01:17.599' ms
Lap 54: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '4.0'% | '3.0'% | '4.0'% | '3.0'%, Fuel '25.68' Kg, PitStop 'No', Time '01:17.542' ms
Lap 55: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '6.0'% | '5.0'% | '6.0'% | '5.0'%, Fuel '24.09' Kg, PitStop 'No', Time '01:17.495' ms
Lap 56: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '9.0'% | '7.0'% | '7.0'% | '7.0'%, Fuel '22.5' Kg, PitStop 'No', Time '01:17.449' ms
Lap 57: Rain 0% -> Compound 'Soft', TyresAge 5, Wear '11.0'% | '8.0'% | '9.0'% | '8.0'%, Fuel '20.91' Kg, PitStop 'No', Time '01:17.393' ms
Lap 58: Rain 0% -> Compound 'Soft', TyresAge 6, Wear '13.0'% | '10.0'% | '11.0'% | '10.0'%, Fuel '19.32' Kg, PitStop 'No', Time '01:17.347' ms
Lap 59: Rain 0% -> Compound 'Soft', TyresAge 7, Wear '15.0'% | '12.0'% | '13.0'% | '12.0'%, Fuel '17.73' Kg, PitStop 'No', Time '01:17.304' ms
Lap 60: Rain 0% -> Compound 'Soft', TyresAge 8, Wear '17.0'% | '14.0'% | '15.0'% | '13.0'%, Fuel '16.14' Kg, PitStop 'No', Time '01:17.253' ms
Lap 61: Rain 0% -> Compound 'Soft', TyresAge 9, Wear '19.0'% | '15.0'% | '17.0'% | '15.0'%, Fuel '14.55' Kg, PitStop 'No', Time '01:17.205' ms
Lap 62: Rain 0% -> Compound 'Soft', TyresAge 10, Wear '22.0'% | '17.0'% | '19.0'% | '17.0'%, Fuel '12.96' Kg, PitStop 'No', Time '01:17.167' ms
Lap 63: Rain 0% -> Compound 'Soft', TyresAge 11, Wear '24.0'% | '19.0'% | '21.0'% | '18.0'%, Fuel '11.37' Kg, PitStop 'No', Time '01:17.120' ms
Lap 64: Rain 0% -> Compound 'Soft', TyresAge 12, Wear '26.0'% | '20.0'% | '22.0'% | '20.0'%, Fuel '9.78' Kg, PitStop 'No', Time '01:17.067' ms
Lap 65: Rain 0% -> Compound 'Soft', TyresAge 13, Wear '28.0'% | '22.0'% | '24.0'% | '22.0'%, Fuel '8.19' Kg, PitStop 'No', Time '01:17.027' ms
Lap 66: Rain 0% -> Compound 'Soft', TyresAge 14, Wear '30.0'% | '24.0'% | '26.0'% | '23.0'%, Fuel '6.6' Kg, PitStop 'No', Time '01:16.983' ms
Time elapsed: 00:15.171
