,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
174,,,6474049.0,,6464690.0,,,,,,,6420600.0,,,,,,,6016226.0,
175,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,6047245.0,
177,,,,,6521115.0,,,,,,,,,,,,,,6226156.0,
178,,,,6336132.0,,,6321874.0,,,,,,,,,6548445.0,,,,
179,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,6413503.0,,,,,,,,,,
181,,6535297.0,,,,,,,,,,,,,,,,,6331848.0,
182,,,,,,,,,,,,,6550738.0,,,,,,,
183,,,,,,,6500384.0,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,6513523.0,,6507657.0,,,,,,,,,,
186,,,,,6793589.0,,,,,,,6582513.0,,,,,,7397331.0,,
187,,,,,,,,,,,,,,,,,6636827.0,,,
188,,6656950.0,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,6737181.0,,,,,,,,
190,,,,,,,,,,6621450.0,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,
