PacketFormat,GameMajorVersion,GameMinorVersion,PacketVersion,PacketId,SessionUID,SessionTime,FrameIdentifier,PlayerCarIndex,SecondaryPlayerCarIndex,EventString,VehicleIndex,LapTime,Speed,PenaltyType,InfringementType,OtherVehicleIndex,Time,LapNum,PlacesGained,OverallFastestInSession,DriverFastestInSession,numLights,flashbackFrameIdentifier,flashbackSessionTime,Button
2021,1,16,1,3,13445084268873967469,258.043915,4193,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,258.357971,4197,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,261.493408,4246,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,261.579895,4248,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,264.641449,4301,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,270.496185,4394,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,270.580292,4396,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,271.257782,4406,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,272.734314,4430,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,272.866974,4432,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,275.884186,4485,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,276.764008,4500,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,278.025085,4518,19,255,BUTN,,,,,,,,,,,,,,,2
2021,1,16,1,3,13445084268873967469,278.116394,4520,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,278.439941,4525,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,281.30069,4567,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,281.349701,4568,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,286.92514,4651,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,287.022644,4652,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,293.338623,4761,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,293.379456,4762,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,294.75412,4787,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,294.836731,4788,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,298.194031,4842,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,298.235291,4843,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,303.779602,4931,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,303.867676,4933,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,303.956512,4934,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,304.001129,4935,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,304.179535,4937,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,304.224365,4938,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,304.314606,4939,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,308.952576,5012,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,310.654297,5040,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,310.736511,5041,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,314.550598,5106,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,315.006134,5114,19,255,FTLP,19,87.708008,,,,,,,,,,,,,
2021,1,16,1,3,13445084268873967469,323.816376,5254,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,323.906372,5256,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,324.265533,5261,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,324.357056,5262,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,324.720306,5268,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,325.07605,5273,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,325.208099,5275,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,325.296448,5276,19,255,BUTN,,,,,,,,,,,,,,,2048
2021,1,16,1,3,13445084268873967469,325.429901,5278,19,255,BUTN,,,,,,,,,,,,,,,0
2021,1,16,1,3,13445084268873967469,333.838379,5409,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,334.642181,5421,19,255,BUTN,,,,,,,,,,,,,,,4096
2021,1,16,1,3,13445084268873967469,334.732178,5422,19,255,BUTN,,,,,,,,,,,,,,,0
