Lap 43: Rain 100% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:56.262' ms
Lap 44: Rain 100% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '28.61' Kg, PitStop 'No', Time '01:31.276' ms
Lap 45: Rain 50% -> Compound 'Wet', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '27.67' Kg, PitStop 'No', Time '01:31.234' ms
Lap 46: Rain 45% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '26.72' Kg, PitStop 'Yes', Time '01:53.148' ms
Lap 47: Rain 40% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '25.78' Kg, PitStop 'No', Time '01:28.114' ms
Lap 48: Rain 35% -> Compound 'Inter', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '24.83' Kg, PitStop 'No', Time '01:28.080' ms
Lap 49: Rain 30% -> Compound 'Inter', TyresAge 3, Wear '3.0'% | '3.0'% | '3.0'% | '3.0'%, Fuel '23.89' Kg, PitStop 'No', Time '01:28.046' ms
Lap 50: Rain 25% -> Compound 'Inter', TyresAge 4, Wear '4.0'% | '4.0'% | '4.0'% | '4.0'%, Fuel '22.0' Kg, PitStop 'No', Time '01:27.954' ms
Lap 51: Rain 20% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '20.11' Kg, PitStop 'Yes', Time '01:48.317' ms
Lap 52: Rain 15% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '18.22' Kg, PitStop 'Yes', Time '01:46.640' ms
Lap 53: Rain 10% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '16.33' Kg, PitStop 'No', Time '01:21.634' ms
[EA] Generation 2 - Bruteforce solution: 01:14:51.116 -> best overall: 01:25:31.625 - best of generation: 01:25:31.625 - population size ratio 294.0% | threshold is 0.3 - counter = 0/5 - stuck value = 0
Lap 1: Rain 0% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '78.66' Kg, PitStop 'No', Time '01:28.773' ms
Lap 2: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '74.88' Kg, PitStop 'Yes', Time '01:50.038' ms
Lap 3: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '72.99' Kg, PitStop 'Yes', Time '01:50.526' ms
Lap 4: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '71.1' Kg, PitStop 'Yes', Time '01:50.412' ms
