Generation 1 -> best overall: 01:29:53.853 - best of generation: 01:29:53.853 - population size ratio 1.86% | threshold is 0.3 - counter = 0/10 - stuck value = 0
Generation 2 -> best overall: 01:29:30.335 - best of generation: 01:29:30.335 - population size ratio 2.74% | threshold is 0.3 - counter = 0/10 - stuck value = 0
Generation 3 -> best overall: 01:29:07.089 - best of generation: 01:29:07.089 - population size ratio 3.96% | threshold is 0.3 - counter = 0/10 - stuck value = 0
Generation 4 -> best overall: 01:28:46.089 - best of generation: 01:28:46.089 - population size ratio 6.08% | threshold is 0.3 - counter = 0/10 - stuck value = 0


Best Strategy: 01:28:27.710 vs 01:20:44.149
Lap 49 -> Compound 'Medium', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '38.11' Kg, PitStop 'Yes', Time '01:28.612' ms
Lap 50 -> Compound 'Medium', Wear '0.06'% | '0.06'% | '0.05'% | '0.04'%, Fuel '36.65' Kg, PitStop 'No', Time '01:07.572' ms
Lap 51 -> Compound 'Medium', Wear '0.07'% | '0.07'% | '0.06'% | '0.06'%, Fuel '35.19' Kg, PitStop 'No', Time '01:07.524' ms
Lap 52 -> Compound 'Medium', Wear '0.09'% | '0.09'% | '0.07'% | '0.07'%, Fuel '33.73' Kg, PitStop 'No', Time '01:07.503' ms
Lap 53 -> Compound 'Medium', Wear '0.1'% | '0.1'% | '0.09'% | '0.08'%, Fuel '32.27' Kg, PitStop 'No', Time '01:07.456' ms
Lap 54 -> Compound 'Medium', Wear '0.12'% | '0.11'% | '0.1'% | '0.09'%, Fuel '30.8' Kg, PitStop 'No', Time '01:07.422' ms
Lap 55 -> Compound 'Medium', Wear '0.13'% | '0.13'% | '0.11'% | '0.1'%, Fuel '29.34' Kg, PitStop 'No', Time '01:07.376' ms
Lap 56 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '27.88' Kg, PitStop 'Yes', Time '01:28.761' ms
Lap 57 -> Compound 'Hard', Wear '0.05'% | '0.05'% | '0.04'% | '0.03'%, Fuel '26.42' Kg, PitStop 'No', Time '01:07.716' ms
Lap 58 -> Compound 'Hard', Wear '0.06'% | '0.06'% | '0.05'% | '0.04'%, Fuel '24.95' Kg, PitStop 'No', Time '01:07.682' ms
Lap 59 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '23.49' Kg, PitStop 'Yes', Time '01:28.637' ms
Lap 60 -> Compound 'Medium', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '22.03' Kg, PitStop 'Yes', Time '01:28.204' ms
Lap 61 -> Compound 'Medium', Wear '0.06'% | '0.06'% | '0.05'% | '0.04'%, Fuel '20.57' Kg, PitStop 'No', Time '01:07.166' ms
Lap 62 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '19.11' Kg, PitStop 'Yes', Time '01:28.507' ms
Lap 63 -> Compound 'Hard', Wear '0.05'% | '0.05'% | '0.04'% | '0.03'%, Fuel '17.64' Kg, PitStop 'No', Time '01:07.463' ms
Lap 64 -> Compound 'Hard', Wear '0.06'% | '0.06'% | '0.05'% | '0.04'%, Fuel '16.18' Kg, PitStop 'No', Time '01:07.430' ms
Lap 65 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '14.72' Kg, PitStop 'Yes', Time '01:31.522' ms
Lap 66 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '13.26' Kg, PitStop 'Yes', Time '01:31.548' ms
Lap 67 -> Compound 'Soft', Wear '0.09'% | '0.08'% | '0.06'% | '0.06'%, Fuel '11.79' Kg, PitStop 'No', Time '01:10.558' ms
Lap 68 -> Compound 'Soft', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '10.33' Kg, PitStop 'Yes', Time '01:31.602' ms
Lap 69 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '8.87' Kg, PitStop 'Yes', Time '01:28.211' ms
Lap 70 -> Compound 'Hard', Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '7.41' Kg, PitStop 'Yes', Time '01:28.167' ms
Lap 71 -> Compound 'Hard', Wear '0.02'% | '0.02'% | '0.02'% | '0.02'%, Fuel '5.95' Kg, PitStop 'No', Time '01:07.124' ms
