Log file of circuit Portimao at 22/08/2022 18:04:02

Population: 500
Iterations: 2500
Mutation: 0.9
Crossover: 0.6
PitStopTime: 00:22.000
Weather: 'S'

[EA] Generation 1 - Bruteforce solution: 01:28:22.639 -> best overall: 01:41:22.717 - difference: 13:00.078 - valid strategies: 1.19% | threshold is 0.3 - counter = 0/25 - stuck value = 0
[EA] Generation 2 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:07.288 - difference: 09:44.649 - valid strategies: 1.18% | threshold is 0.3 - counter = 0/25 - stuck value = 0
[EA] Generation 3 - Bruteforce solution: 01:28:22.639 -> best overall: 01:38:04.155 - difference: 09:41.516 - valid strategies: 5.1% | threshold is 0.3 - counter = 0/25 - stuck value = 0
[EA] Generation 4 - Bruteforce solution: 01:28:22.639 -> best overall: 01:37:42.453 - difference: 09:19.814 - valid strategies: 9.6% | threshold is 0.3 - counter = 0/25 - stuck value = 0


Best Strategy fitness: 5840514
Best Strategy time: 01:37:20.514

 vs 

Bruteforce fitness: 5302639
Bruteforce time: 01:28:22.639
Lap 38: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '54.21' Kg, PitStop 'Yes', Time '01:41.344' ms
Lap 39: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '52.62' Kg, PitStop 'Yes', Time '01:41.255' ms
Lap 40: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '51.03' Kg, PitStop 'No', Time '01:19.196' ms
Lap 41: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '49.44' Kg, PitStop 'No', Time '01:19.137' ms
Lap 42: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '47.85' Kg, PitStop 'No', Time '01:19.084' ms
Lap 43: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '6.0'% | '5.0'% | '5.0'% | '5.0'%, Fuel '46.26' Kg, PitStop 'No', Time '01:19.026' ms
Lap 44: Rain 0% -> Compound 'Medium', TyresAge 5, Wear '8.0'% | '6.0'% | '7.0'% | '6.0'%, Fuel '44.67' Kg, PitStop 'No', Time '01:18.974' ms
Lap 45: Rain 0% -> Compound 'Medium', TyresAge 6, Wear '9.0'% | '7.0'% | '8.0'% | '7.0'%, Fuel '43.08' Kg, PitStop 'No', Time '01:18.909' ms
Lap 46: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '41.49' Kg, PitStop 'Yes', Time '01:40.631' ms
Lap 47: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '39.9' Kg, PitStop 'Yes', Time '01:40.542' ms
Lap 48: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '38.31' Kg, PitStop 'Yes', Time '01:40.453' ms
Lap 49: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '36.72' Kg, PitStop 'Yes', Time '01:40.364' ms
Lap 50: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '35.13' Kg, PitStop 'No', Time '01:18.306' ms
Lap 51: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '33.54' Kg, PitStop 'Yes', Time '01:40.186' ms
Lap 52: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '31.95' Kg, PitStop 'No', Time '01:18.128' ms
Lap 53: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '30.36' Kg, PitStop 'No', Time '01:18.069' ms
Lap 54: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '28.77' Kg, PitStop 'No', Time '01:18.016' ms
Lap 55: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '27.18' Kg, PitStop 'Yes', Time '01:39.830' ms
Lap 56: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '25.59' Kg, PitStop 'Yes', Time '01:39.741' ms
Lap 57: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '24.0' Kg, PitStop 'No', Time '01:17.683' ms
Lap 58: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '22.41' Kg, PitStop 'Yes', Time '01:39.563' ms
Lap 59: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '20.82' Kg, PitStop 'No', Time '01:17.505' ms
Lap 60: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '3.0'% | '2.0'% | '3.0'% | '2.0'%, Fuel '19.23' Kg, PitStop 'No', Time '01:17.446' ms
Lap 61: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '17.64' Kg, PitStop 'Yes', Time '01:39.296' ms
Lap 62: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '16.05' Kg, PitStop 'Yes', Time '01:39.207' ms
Lap 63: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '14.46' Kg, PitStop 'Yes', Time '01:39.118' ms
Lap 64: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '12.87' Kg, PitStop 'No', Time '01:17.059' ms
Lap 65: Rain 0% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '11.28' Kg, PitStop 'Yes', Time '01:38.939' ms
Lap 66: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '2.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '9.69' Kg, PitStop 'No', Time '01:16.881' ms
Time elapsed: 00:09.048
